,"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of joint returns,Number of dependents,Adjusted gross income (AGI)
10,10001,,12393.0,2003.0,3030.0,1644776.0
18,10002,,44144.0,11843.0,21571.0,1652980.0
26,10003,,28745.0,4930.0,4481.0,4554175.0
34,10004,,1910.0,581.0,740.0,485592.0
42,10005,,5051.0,1121.0,1199.0,3172495.0
50,10006,,2291.0,424.0,466.0,352831.0
58,10007,,3588.0,1136.0,1399.0,1317567.0
66,10009,,31165.0,4987.0,9423.0,1948369.0
74,10010,,16979.0,3328.0,3042.0,2602293.0
82,10011,,29995.0,4789.0,5368.0,4889117.0
90,10012,,13015.0,2427.0,2493.0,1814741.0
98,10013,,15793.0,4597.0,5853.0,3589094.0
106,10014,,19148.0,3027.0,2828.0,3477280.0
114,10016,,30681.0,5544.0,4981.0,4764280.0
122,10017,,14400.0,2634.0,2548.0,3113012.0
130,10018,,5190.0,925.0,1325.0,1775674.0
138,10019,,24137.0,4244.0,4764.0,4881738.0
146,10021,,26305.0,7348.0,6762.0,12244041.0
154,10022,,19702.0,5220.0,4437.0,7404273.0
162,10023,,34139.0,8391.0,8647.0,8728258.0
170,10024,,31129.0,8996.0,10548.0,7031434.0
178,10025,,46849.0,10911.0,17408.0,4823341.0
186,10026,,16603.0,1971.0,9098.0,760054.0
194,10027,,25342.0,3387.0,13084.0,1119548.0
202,10028,,25190.0,6737.0,7427.0,6197379.0
210,10029,,31522.0,4066.0,19201.0,1218383.0
218,10030,,12074.0,992.0,7389.0,411700.0
226,10031,,27561.0,2856.0,14883.0,852639.0
234,10032,,32071.0,3358.0,16073.0,977366.0
242,10033,,27994.0,4046.0,14763.0,988208.0
250,10034,,21743.0,2905.0,11148.0,744802.0
258,10035,,13410.0,1404.0,8633.0,440160.0
266,10036,,17454.0,2601.0,3576.0,2850927.0
274,10037,,9491.0,702.0,4470.0,381329.0
282,10038,,10631.0,2339.0,3305.0,870470.0
290,10039,,11973.0,1021.0,7456.0,396302.0
298,10040,,21336.0,3088.0,11907.0,721919.0
306,10044,,4145.0,1163.0,1735.0,293295.0
314,10065,,14251.0,3711.0,3431.0,4405604.0
322,10069,,2235.0,829.0,818.0,810461.0
330,10075,,12630.0,3320.0,3439.0,3301171.0
338,10128,,32132.0,8580.0,10079.0,9048810.0
346,10162,,703.0,304.0,363.0,147262.0
354,10280,,3843.0,1197.0,1265.0,599630.0
362,10282,,2255.0,873.0,967.0,586828.0
370,10301,,16372.0,4358.0,9843.0,999593.0
378,10302,,7244.0,2159.0,5389.0,343492.0
386,10303,,10948.0,2567.0,9011.0,454475.0
394,10304,,17926.0,5136.0,12739.0,1077608.0
402,10305,,18226.0,6885.0,11551.0,1018562.0
410,10306,,25853.0,10494.0,15769.0,1624158.0
418,10307,,5943.0,2661.0,4473.0,462132.0
426,10308,,12771.0,5676.0,7850.0,855046.0
434,10309,,13671.0,6210.0,9532.0,1002324.0
442,10310,,10204.0,3218.0,7577.0,563425.0
450,10312,,27807.0,12555.0,17504.0,1970549.0
458,10314,,38658.0,15909.0,24495.0,2370759.0
466,10451,,20361.0,1951.0,14798.0,584807.0
474,10452,,34858.0,3519.0,26803.0,866845.0
482,10453,,36279.0,3118.0,27104.0,889461.0
490,10454,,13477.0,1358.0,11770.0,321128.0
498,10455,,15374.0,1601.0,12934.0,374927.0
506,10456,,36762.0,3214.0,29904.0,889629.0
514,10457,,29311.0,2726.0,23775.0,713195.0
522,10458,,31103.0,3802.0,23810.0,815498.0
530,10459,,18461.0,1878.0,15715.0,472185.0
538,10460,,25324.0,2357.0,19097.0,673270.0
546,10461,,21876.0,5789.0,12586.0,990404.0
554,10462,,36262.0,6793.0,23583.0,1367862.0
562,10463,,31844.0,7306.0,17155.0,1708852.0
570,10464,,2050.0,668.0,917.0,144247.0
578,10465,,18994.0,5244.0,11204.0,1000268.0
586,10466,,29880.0,4196.0,21108.0,1046744.0
594,10467,,40609.0,6054.0,29129.0,1288116.0
602,10468,,33966.0,3973.0,24232.0,931642.0
610,10469,,29513.0,5434.0,19998.0,1202589.0
618,10470,,7126.0,1481.0,3621.0,313211.0
626,10471,,9588.0,2979.0,4455.0,1042850.0
634,10472,,26354.0,3967.0,20399.0,721914.0
642,10473,,26666.0,3343.0,19427.0,942554.0
650,10474,,4319.0,422.0,3803.0,114221.0
658,10475,,20984.0,3123.0,10239.0,924406.0
666,10501,,610.0,327.0,489.0,76683.0
674,10502,,2796.0,1378.0,2059.0,352026.0
682,10504,,5575.0,3006.0,4578.0,2158962.0
690,10505,,539.0,280.0,512.0,56790.0
698,10506,,2655.0,1472.0,2215.0,872962.0
706,10507,,2548.0,983.0,1651.0,362812.0
714,10509,,9385.0,3985.0,5878.0,740204.0
722,10510,,4885.0,2464.0,3454.0,1040344.0
730,10511,,1093.0,469.0,694.0,73756.0
738,10512,,11952.0,5370.0,7352.0,900885.0
746,10514,,5341.0,3044.0,4868.0,1909214.0
754,10516,,2580.0,1149.0,1505.0,237288.0
762,10518,,699.0,319.0,542.0,102705.0
770,10520,,6038.0,2721.0,3738.0,675255.0
