XCoord,YCoord,OID,FIELD1,TRIPDURATI,STARTTIME,STOPTIME,START_STAT,START_ST_1,USERTYPE,BIRTH_YEAR,STARTIME,DURATIOND,DURATIONN
-73.96087600,40.71045100,76,76,789,NULL,NULL,40.710451,-73.960876,Subscriber,1983.000000,2015-06-01 00:00:00, ,789.000000
-73.98912867,40.68926942,90,90,246,NULL,NULL,40.689269,-73.989129,Subscriber,1988.000000,2015-06-01 00:00:00, ,246.000000
-73.98912867,40.68926942,93,93,230,NULL,NULL,40.689269,-73.989129,Subscriber,1988.000000,2015-06-01 00:00:00, ,230.000000
-73.99548059,40.70037867,238,238,818,NULL,NULL,40.700379,-73.995481,Customer,0.000000,2015-06-01 00:00:00, ,818.000000
-73.99548059,40.70037867,240,240,796,NULL,NULL,40.700379,-73.995481,Customer,0.000000,2015-06-01 00:00:00, ,796.000000
-73.96087600,40.71045100,456,456,723,NULL,NULL,40.710451,-73.960876,Subscriber,1982.000000,2015-06-01 00:00:00, ,723.000000
-73.98362464,40.69474881,473,473,338,NULL,NULL,40.694749,-73.983625,Subscriber,1978.000000,2015-06-01 00:00:00, ,338.000000
-73.97493121,40.68981035,600,600,1162,NULL,NULL,40.689810,-73.974931,Subscriber,1979.000000,2015-06-01 00:00:00, ,1162.000000
-73.96834101,40.70827295,858,858,379,NULL,NULL,40.708273,-73.968341,Subscriber,1981.000000,2015-06-01 00:00:00,379.0,0.000000
-73.95643107,40.69064950,1087,1087,989,NULL,NULL,40.690649,-73.956431,Subscriber,1978.000000,2015-06-01 00:00:00,989.0,0.000000
-73.97372990,40.69178230,1120,1120,395,NULL,NULL,40.691782,-73.973730,Subscriber,1971.000000,2015-06-01 00:00:00,395.0,0.000000
-73.98912867,40.68926942,1252,1252,1010,NULL,NULL,40.689269,-73.989129,Subscriber,1985.000000,2015-06-01 00:00:00,1010.0,0.000000
-73.96563307,40.68650065,1261,1261,372,NULL,NULL,40.686501,-73.965633,Subscriber,1968.000000,2015-06-01 00:00:00,372.0,0.000000
-73.96834101,40.70827295,1283,1283,1972,NULL,NULL,40.708273,-73.968341,Subscriber,1985.000000,2015-06-01 00:00:00,1972.0,0.000000
-73.97372990,40.69178230,1332,1332,1222,NULL,NULL,40.691782,-73.973730,Subscriber,1967.000000,2015-06-01 00:00:00,1222.0,0.000000
-73.97632328,40.68382604,1367,1367,2172,NULL,NULL,40.683826,-73.976323,Subscriber,1984.000000,2015-06-01 00:00:00,2172.0,0.000000
-73.96834101,40.70827295,1416,1416,299,NULL,NULL,40.708273,-73.968341,Subscriber,1986.000000,2015-06-01 00:00:00,299.0,0.000000
-73.98912867,40.68926942,1520,1520,1451,NULL,NULL,40.689269,-73.989129,Subscriber,1984.000000,2015-06-01 00:00:00,1451.0,0.000000
-73.96023854,40.68900443,1559,1559,374,NULL,NULL,40.689004,-73.960239,Subscriber,1971.000000,2015-06-01 00:00:00,374.0,0.000000
-73.96087600,40.71045100,1600,1600,1897,NULL,NULL,40.710451,-73.960876,Subscriber,1991.000000,2015-06-01 00:00:00,1897.0,0.000000
-73.96087600,40.71045100,1684,1684,1739,NULL,NULL,40.710451,-73.960876,Subscriber,1985.000000,2015-06-01 00:00:00,1739.0,0.000000
-73.97100056,40.70531194,1697,1697,1239,NULL,NULL,40.705312,-73.971001,Subscriber,1983.000000,2015-06-01 00:00:00,1239.0,0.000000
-73.96087600,40.71045100,1700,1700,1329,NULL,NULL,40.710451,-73.960876,Subscriber,1985.000000,2015-06-01 00:00:00,1329.0,0.000000
-73.98912867,40.68926942,1734,1734,1084,NULL,NULL,40.689269,-73.989129,Subscriber,1969.000000,2015-06-01 00:00:00,1084.0,0.000000
-73.96408963,40.70853074,1754,1754,797,NULL,NULL,40.708531,-73.964090,Subscriber,1990.000000,2015-06-01 00:00:00,797.0,0.000000
-73.97372990,40.69178230,1765,1765,652,NULL,NULL,40.691782,-73.973730,Subscriber,1977.000000,2015-06-01 00:00:00,652.0,0.000000
-73.98362464,40.69474881,1788,1788,1077,NULL,NULL,40.694749,-73.983625,Subscriber,1981.000000,2015-06-01 00:00:00,1077.0,0.000000
-73.97372990,40.69178230,1855,1855,236,NULL,NULL,40.691782,-73.973730,Subscriber,1978.000000,2015-06-01 00:00:00,236.0,0.000000
-73.98068914,40.69839895,1871,1871,1660,NULL,NULL,40.698399,-73.980689,Subscriber,1980.000000,2015-06-01 00:00:00,1660.0,0.000000
-73.97372990,40.69178230,1884,1884,431,NULL,NULL,40.691782,-73.973730,Subscriber,1962.000000,2015-06-01 00:00:00,431.0,0.000000
-73.97493121,40.68981035,1946,1946,140,NULL,NULL,40.689810,-73.974931,Subscriber,1981.000000,2015-06-01 00:00:00,140.0,0.000000
-73.95643107,40.69064950,1990,1990,1375,NULL,NULL,40.690649,-73.956431,Subscriber,1977.000000,2015-06-01 00:00:00,1375.0,0.000000
-73.96023854,40.68900443,2015,2015,781,NULL,NULL,40.689004,-73.960239,Subscriber,1973.000000,2015-06-01 00:00:00,781.0,0.000000
-73.96087600,40.71045100,2047,2047,612,NULL,NULL,40.710451,-73.960876,Customer,0.000000,2015-06-01 00:00:00,612.0,0.000000
-73.97372990,40.69178230,2110,2110,269,NULL,NULL,40.691782,-73.973730,Subscriber,1983.000000,2015-06-01 00:00:00,269.0,0.000000
-73.96024116,40.71534825,2147,2147,2270,NULL,NULL,40.715348,-73.960241,Subscriber,1987.000000,2015-06-01 00:00:00,2270.0,0.000000
-73.96087600,40.71045100,2155,2155,1506,NULL,NULL,40.710451,-73.960876,Subscriber,1986.000000,2015-06-01 00:00:00,1506.0,0.000000
-73.96476280,40.68851534,2220,2220,347,NULL,NULL,40.688515,-73.964763,Subscriber,1970.000000,2015-06-01 00:00:00,347.0,0.000000
-73.98912867,40.68926942,2227,2227,2701,NULL,NULL,40.689269,-73.989129,Subscriber,1980.000000,2015-06-01 00:00:00,2701.0,0.000000
-73.96023854,40.68900443,2268,2268,282,NULL,NULL,40.689004,-73.960239,Subscriber,1985.000000,2015-06-01 00:00:00,282.0,0.000000
-73.96563307,40.68650065,2280,2280,339,NULL,NULL,40.686501,-73.965633,Subscriber,1973.000000,2015-06-01 00:00:00,339.0,0.000000
-73.97493121,40.68981035,2291,2291,351,NULL,NULL,40.689810,-73.974931,Subscriber,1971.000000,2015-06-01 00:00:00,351.0,0.000000
-73.97703874,40.69327018,2309,2309,403,NULL,NULL,40.693270,-73.977039,Subscriber,1973.000000,2015-06-01 00:00:00,403.0,0.000000
-73.96476280,40.68851534,2311,2311,330,NULL,NULL,40.688515,-73.964763,Subscriber,1979.000000,2015-06-01 00:00:00,330.0,0.000000
-73.97703874,40.69327018,2322,2322,763,NULL,NULL,40.693270,-73.977039,Subscriber,1967.000000,2015-06-01 00:00:00,763.0,0.000000
-73.96986848,40.69794000,2330,2330,691,NULL,NULL,40.697940,-73.969868,Subscriber,1958.000000,2015-06-01 00:00:00,691.0,0.000000
-73.97493121,40.68981035,2391,2391,362,NULL,NULL,40.689810,-73.974931,Subscriber,1974.000000,2015-06-01 00:00:00,362.0,0.000000
-73.97372990,40.69178230,2433,2433,206,NULL,NULL,40.691782,-73.973730,Subscriber,1981.000000,2015-06-01 00:00:00,206.0,0.000000
-73.99548059,40.70037867,2453,2453,298,NULL,NULL,40.700379,-73.995481,Subscriber,1982.000000,2015-06-01 00:00:00,298.0,0.000000
-73.99548059,40.70037867,2601,2601,705,NULL,NULL,40.700379,-73.995481,Subscriber,1981.000000,2015-06-01 00:00:00,705.0,0.000000
-73.98362464,40.69474881,2666,2666,377,NULL,NULL,40.694749,-73.983625,Subscriber,1984.000000,2015-06-01 00:00:00,377.0,0.000000
-73.97703874,40.69327018,2672,2672,399,NULL,NULL,40.693270,-73.977039,Subscriber,1963.000000,2015-06-01 00:00:00,399.0,0.000000
-73.97493121,40.68981035,2737,2737,142,NULL,NULL,40.689810,-73.974931,Subscriber,1979.000000,2015-06-01 00:00:00,142.0,0.000000
-73.96476280,40.68851534,2824,2824,365,NULL,NULL,40.688515,-73.964763,Subscriber,1977.000000,2015-06-01 00:00:00,365.0,0.000000
-73.97493121,40.68981035,2897,2897,141,NULL,NULL,40.689810,-73.974931,Subscriber,1986.000000,2015-06-01 00:00:00,141.0,0.000000
-73.96834101,40.70827295,2900,2900,998,NULL,NULL,40.708273,-73.968341,Customer,0.000000,2015-06-01 00:00:00,998.0,0.000000
-73.97632328,40.68382604,3145,3145,723,NULL,NULL,40.683826,-73.976323,Subscriber,1974.000000,2015-06-01 00:00:00,723.0,0.000000
-73.96563307,40.68650065,3179,3179,348,NULL,NULL,40.686501,-73.965633,Subscriber,1966.000000,2015-06-01 00:00:00,348.0,0.000000
-73.96476280,40.68851534,3180,3180,408,NULL,NULL,40.688515,-73.964763,Subscriber,1973.000000,2015-06-01 00:00:00,408.0,0.000000
-73.97703874,40.69327018,3334,3334,427,NULL,NULL,40.693270,-73.977039,Subscriber,1982.000000,2015-06-01 00:00:00,427.0,0.000000
-73.95643107,40.69064950,3373,3373,621,NULL,NULL,40.690649,-73.956431,Customer,0.000000,2015-06-01 00:00:00,621.0,0.000000
-73.97632328,40.68382604,3388,3388,1674,NULL,NULL,40.683826,-73.976323,Subscriber,1982.000000,2015-06-01 00:00:00,1674.0,0.000000
-73.95381995,40.69331716,3519,3519,978,NULL,NULL,40.693317,-73.953820,Subscriber,1978.000000,2015-06-01 00:00:00,978.0,0.000000
-73.98912867,40.68926942,3539,3539,407,NULL,NULL,40.689269,-73.989129,Subscriber,1964.000000,2015-06-01 00:00:00,407.0,0.000000
-73.97493121,40.68981035,3664,3664,623,NULL,NULL,40.689810,-73.974931,Subscriber,1983.000000,2015-06-01 00:00:00,623.0,0.000000
-73.97703874,40.69327018,3719,3719,307,NULL,NULL,40.693270,-73.977039,Subscriber,1974.000000,2015-06-01 00:00:00,307.0,0.000000
-73.96087600,40.71045100,3777,3777,1016,NULL,NULL,40.710451,-73.960876,Subscriber,1981.000000,2015-06-01 00:00:00,1016.0,0.000000
-73.98362464,40.69474881,3864,3864,1043,NULL,NULL,40.694749,-73.983625,Subscriber,1985.000000,2015-06-01 00:00:00,1043.0,0.000000
-73.96834101,40.70827295,3871,3871,1571,NULL,NULL,40.708273,-73.968341,Subscriber,1977.000000,2015-06-01 00:00:00,1571.0,0.000000
-73.95643107,40.69064950,3894,3894,289,NULL,NULL,40.690649,-73.956431,Subscriber,1972.000000,2015-06-01 00:00:00,289.0,0.000000
-73.96023854,40.68900443,4014,4014,567,NULL,NULL,40.689004,-73.960239,Subscriber,1985.000000,2015-06-01 00:00:00,567.0,0.000000
-73.96024116,40.71534825,4077,4077,1136,NULL,NULL,40.715348,-73.960241,Subscriber,1985.000000,2015-06-01 00:00:00,1136.0,0.000000
-73.96563307,40.68650065,4135,4135,580,NULL,NULL,40.686501,-73.965633,Subscriber,1984.000000,2015-06-01 00:00:00,580.0,0.000000
-73.96023854,40.68900443,4159,4159,1860,NULL,NULL,40.689004,-73.960239,Subscriber,1979.000000,2015-06-01 00:00:00,1860.0,0.000000
-73.95381995,40.69331716,4255,4255,633,NULL,NULL,40.693317,-73.953820,Subscriber,1987.000000,2015-06-01 00:00:00,633.0,0.000000
-73.98362464,40.69474881,4271,4271,463,NULL,NULL,40.694749,-73.983625,Customer,0.000000,2015-06-01 00:00:00,463.0,0.000000
-73.96024116,40.71534825,4279,4279,1110,NULL,NULL,40.715348,-73.960241,Subscriber,1971.000000,2015-06-01 00:00:00,1110.0,0.000000
-73.96986848,40.69794000,4396,4396,1404,NULL,NULL,40.697940,-73.969868,Subscriber,1985.000000,2015-06-01 00:00:00,1404.0,0.000000
-73.95643107,40.69064950,4468,4468,1404,NULL,NULL,40.690649,-73.956431,Subscriber,1983.000000,2015-06-01 00:00:00,1404.0,0.000000
-73.98912867,40.68926942,4650,4650,1002,NULL,NULL,40.689269,-73.989129,Subscriber,1983.000000,2015-06-01 00:00:00,1002.0,0.000000
-73.96087600,40.71045100,4673,4673,1117,NULL,NULL,40.710451,-73.960876,Subscriber,1977.000000,2015-06-01 00:00:00,1117.0,0.000000
-73.95643107,40.69064950,4674,4674,667,NULL,NULL,40.690649,-73.956431,Customer,0.000000,2015-06-01 00:00:00,667.0,0.000000
-73.96024116,40.71534825,4742,4742,1517,NULL,NULL,40.715348,-73.960241,Subscriber,1991.000000,2015-06-01 00:00:00,1517.0,0.000000
-73.97493121,40.68981035,4761,4761,364,NULL,NULL,40.689810,-73.974931,Subscriber,1995.000000,2015-06-01 00:00:00,364.0,0.000000
-73.96024116,40.71534825,4822,4822,191,NULL,NULL,40.715348,-73.960241,Subscriber,1987.000000,2015-06-01 00:00:00,191.0,0.000000
-73.96024116,40.71534825,4887,4887,1263,NULL,NULL,40.715348,-73.960241,Subscriber,1975.000000,2015-06-01 00:00:00,1263.0,0.000000
-73.96024116,40.71534825,4937,4937,1224,NULL,NULL,40.715348,-73.960241,Subscriber,1982.000000,2015-06-01 00:00:00,1224.0,0.000000
-73.96024116,40.71534825,4950,4950,1464,NULL,NULL,40.715348,-73.960241,Subscriber,1986.000000,2015-06-01 00:00:00,1464.0,0.000000
-73.96024116,40.71534825,4973,4973,1278,NULL,NULL,40.715348,-73.960241,Subscriber,1978.000000,2015-06-01 00:00:00,1278.0,0.000000
-73.97632328,40.68382604,5018,5018,1976,NULL,NULL,40.683826,-73.976323,Subscriber,1971.000000,2015-06-01 00:00:00,1976.0,0.000000
-73.98912867,40.68926942,5081,5081,511,NULL,NULL,40.689269,-73.989129,Subscriber,1970.000000,2015-06-01 00:00:00,511.0,0.000000
-73.97493121,40.68981035,5086,5086,479,NULL,NULL,40.689810,-73.974931,Subscriber,1962.000000,2015-06-01 00:00:00,479.0,0.000000
-73.98362464,40.69474881,5090,5090,1737,NULL,NULL,40.694749,-73.983625,Subscriber,1987.000000,2015-06-01 00:00:00,1737.0,0.000000
-73.96986848,40.69794000,5134,5134,1438,NULL,NULL,40.697940,-73.969868,Subscriber,1985.000000,2015-06-01 00:00:00,1438.0,0.000000
-73.95643107,40.69064950,5230,5230,935,NULL,NULL,40.690649,-73.956431,Subscriber,1975.000000,2015-06-01 00:00:00,935.0,0.000000
-73.95381995,40.69331716,5272,5272,2277,NULL,NULL,40.693317,-73.953820,Subscriber,1983.000000,2015-06-01 00:00:00,2277.0,0.000000
-73.97703874,40.69327018,5380,5380,316,NULL,NULL,40.693270,-73.977039,Subscriber,1986.000000,2015-06-01 00:00:00,316.0,0.000000
-73.97703874,40.69327018,5605,5605,198,NULL,NULL,40.693270,-73.977039,Subscriber,1971.000000,2015-06-01 00:00:00,198.0,0.000000
-73.96023854,40.68900443,5612,5612,325,NULL,NULL,40.689004,-73.960239,Subscriber,1979.000000,2015-06-01 00:00:00,325.0,0.000000
-73.96024116,40.71534825,5624,5624,1925,NULL,NULL,40.715348,-73.960241,Subscriber,1982.000000,2015-06-01 00:00:00,1925.0,0.000000
-73.97632328,40.68382604,5631,5631,1592,NULL,NULL,40.683826,-73.976323,Customer,0.000000,2015-06-01 00:00:00,1592.0,0.000000
-73.97632328,40.68382604,5635,5635,1573,NULL,NULL,40.683826,-73.976323,Customer,0.000000,2015-06-01 00:00:00,1573.0,0.000000
-73.97372990,40.69178230,5662,5662,301,NULL,NULL,40.691782,-73.973730,Subscriber,1977.000000,2015-06-01 00:00:00,301.0,0.000000
-73.97493121,40.68981035,5664,5664,232,NULL,NULL,40.689810,-73.974931,Subscriber,1969.000000,2015-06-01 00:00:00,232.0,0.000000
-73.96023854,40.68900443,5728,5728,1710,NULL,NULL,40.689004,-73.960239,Subscriber,1966.000000,2015-06-01 00:00:00,1710.0,0.000000
-73.96087600,40.71045100,5787,5787,1024,NULL,NULL,40.710451,-73.960876,Subscriber,1984.000000,2015-06-01 00:00:00,1024.0,0.000000
-73.98912867,40.68926942,5804,5804,279,NULL,NULL,40.689269,-73.989129,Subscriber,1985.000000,2015-06-01 00:00:00,279.0,0.000000
-73.95643107,40.69064950,5823,5823,1237,NULL,NULL,40.690649,-73.956431,Subscriber,1980.000000,2015-06-01 00:00:00,1237.0,0.000000
-73.97703874,40.69327018,5855,5855,268,NULL,NULL,40.693270,-73.977039,Subscriber,1991.000000,2015-06-01 00:00:00,268.0,0.000000
-73.96023854,40.68900443,5879,5879,531,NULL,NULL,40.689004,-73.960239,Subscriber,1989.000000,2015-06-01 00:00:00,531.0,0.000000
-73.97632328,40.68382604,5972,5972,395,NULL,NULL,40.683826,-73.976323,Subscriber,1978.000000,2015-06-01 00:00:00,395.0,0.000000
-73.97703874,40.69327018,5995,5995,245,NULL,NULL,40.693270,-73.977039,Subscriber,1979.000000,2015-06-01 00:00:00,245.0,0.000000
-73.96563307,40.68650065,6045,6045,294,NULL,NULL,40.686501,-73.965633,Subscriber,1968.000000,2015-06-01 00:00:00,294.0,0.000000
-73.97632328,40.68382604,6140,6140,483,NULL,NULL,40.683826,-73.976323,Subscriber,1964.000000,2015-06-01 00:00:00,483.0,0.000000
-73.98912867,40.68926942,6179,6179,409,NULL,NULL,40.689269,-73.989129,Subscriber,1965.000000,2015-06-01 00:00:00,409.0,0.000000
-73.97372990,40.69178230,6255,6255,887,NULL,NULL,40.691782,-73.973730,Subscriber,1986.000000,2015-06-01 00:00:00,887.0,0.000000
-73.99052739,40.69475701,6360,6360,339,NULL,NULL,40.694757,-73.990527,Subscriber,1983.000000,2015-06-01 00:00:00,339.0,0.000000
-73.98912867,40.68926942,6502,6502,574,NULL,NULL,40.689269,-73.989129,Subscriber,1980.000000,2015-06-01 00:00:00,574.0,0.000000
-73.97493121,40.68981035,6686,6686,176,NULL,NULL,40.689810,-73.974931,Subscriber,1942.000000,2015-06-01 00:00:00,176.0,0.000000
-73.98362464,40.69474881,6695,6695,679,NULL,NULL,40.694749,-73.983625,Subscriber,1982.000000,2015-06-01 00:00:00,679.0,0.000000
-73.96024116,40.71534825,6747,6747,1363,NULL,NULL,40.715348,-73.960241,Customer,0.000000,2015-06-01 00:00:00,1363.0,0.000000
-73.96024116,40.71534825,6750,6750,1332,NULL,NULL,40.715348,-73.960241,Customer,0.000000,2015-06-01 00:00:00,1332.0,0.000000
-73.96024116,40.71534825,6753,6753,1329,NULL,NULL,40.715348,-73.960241,Customer,0.000000,2015-06-01 00:00:00,1329.0,0.000000
-73.97703874,40.69327018,6816,6816,1165,NULL,NULL,40.693270,-73.977039,Subscriber,1986.000000,2015-06-01 00:00:00,1165.0,0.000000
-73.96476280,40.68851534,6955,6955,941,NULL,NULL,40.688515,-73.964763,Subscriber,1991.000000,2015-06-01 00:00:00,941.0,0.000000
-73.96024116,40.71534825,7112,7112,1297,NULL,NULL,40.715348,-73.960241,Customer,0.000000,2015-06-01 00:00:00,1297.0,0.000000
